a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,334.2600
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,382.9100
10.0,0.1,0.1,0.1,0.1,0.1,0.9,0.1,394.5100
10.0,0.1,0.1,0.1,0.1,0.1,0.9,0.9,291.3200
10.0,0.1,0.1,0.1,0.1,0.9,0.1,0.1,362.9200
10.0,0.1,0.1,0.1,0.1,0.9,0.1,0.9,386.1500
10.0,0.1,0.1,0.1,0.1,0.9,0.9,0.1,443.2200
10.0,0.1,0.1,0.1,0.1,0.9,0.9,0.9,339.8700
10.0,0.1,0.1,0.1,0.9,0.1,0.1,0.1,346.8600
10.0,0.1,0.1,0.1,0.9,0.1,0.1,0.9,369.1700
10.0,0.1,0.1,0.1,0.9,0.1,0.9,0.1,399.3300
10.0,0.1,0.1,0.1,0.9,0.1,0.9,0.9,372.8900
10.0,0.1,0.1,0.1,0.9,0.9,0.1,0.1,361.5300
10.0,0.1,0.1,0.1,0.9,0.9,0.1,0.9,328.8900
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.1,375.8200
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,288.2700
10.0,0.1,0.1,0.9,0.1,0.1,0.1,0.1,399.5800
10.0,0.1,0.1,0.9,0.1,0.1,0.1,0.9,408.6000
10.0,0.1,0.1,0.9,0.1,0.1,0.9,0.1,367.5700
10.0,0.1,0.1,0.9,0.1,0.1,0.9,0.9,417.2300
10.0,0.1,0.1,0.9,0.1,0.9,0.1,0.1,337.6600
10.0,0.1,0.1,0.9,0.1,0.9,0.1,0.9,325.8500
10.0,0.1,0.1,0.9,0.1,0.9,0.9,0.1,369.9500
10.0,0.1,0.1,0.9,0.1,0.9,0.9,0.9,334.9000
10.0,0.1,0.1,0.9,0.9,0.1,0.1,0.1,326.2300
10.0,0.1,0.1,0.9,0.9,0.1,0.1,0.9,390.3700
10.0,0.1,0.1,0.9,0.9,0.1,0.9,0.1,402.4800
10.0,0.1,0.1,0.9,0.9,0.1,0.9,0.9,330.9900
10.0,0.1,0.1,0.9,0.9,0.9,0.1,0.1,358.7900
10.0,0.1,0.1,0.9,0.9,0.9,0.1,0.9,368.1000
10.0,0.1,0.1,0.9,0.9,0.9,0.9,0.1,359.6600
10.0,0.1,0.1,0.9,0.9,0.9,0.9,0.9,338.6400
10.0,0.1,0.9,0.1,0.1,0.1,0.1,0.1,348.9100
10.0,0.1,0.9,0.1,0.1,0.1,0.1,0.9,333.3300
10.0,0.1,0.9,0.1,0.1,0.1,0.9,0.1,358.8800
10.0,0.1,0.9,0.1,0.1,0.1,0.9,0.9,411.4100
10.0,0.1,0.9,0.1,0.1,0.9,0.1,0.1,334.8500
10.0,0.1,0.9,0.1,0.1,0.9,0.1,0.9,349.4600
10.0,0.1,0.9,0.1,0.1,0.9,0.9,0.1,357.0500
10.0,0.1,0.9,0.1,0.1,0.9,0.9,0.9,386.2200
10.0,0.1,0.9,0.1,0.9,0.1,0.1,0.1,386.6600
10.0,0.1,0.9,0.1,0.9,0.1,0.1,0.9,307.7800
10.0,0.1,0.9,0.1,0.9,0.1,0.9,0.1,305.1000
10.0,0.1,0.9,0.1,0.9,0.1,0.9,0.9,311.1100
10.0,0.1,0.9,0.1,0.9,0.9,0.1,0.1,350.8200
10.0,0.1,0.9,0.1,0.9,0.9,0.1,0.9,375.0100
10.0,0.1,0.9,0.1,0.9,0.9,0.9,0.1,314.8700
10.0,0.1,0.9,0.1,0.9,0.9,0.9,0.9,350.3200
10.0,0.1,0.9,0.9,0.1,0.1,0.1,0.1,367.3800
10.0,0.1,0.9,0.9,0.1,0.1,0.1,0.9,300.1200
10.0,0.1,0.9,0.9,0.1,0.1,0.9,0.1,372.6400
10.0,0.1,0.9,0.9,0.1,0.1,0.9,0.9,337.3800
10.0,0.1,0.9,0.9,0.1,0.9,0.1,0.1,339.1500
10.0,0.1,0.9,0.9,0.1,0.9,0.1,0.9,360.6200
10.0,0.1,0.9,0.9,0.1,0.9,0.9,0.1,358.8800
10.0,0.1,0.9,0.9,0.1,0.9,0.9,0.9,391.9600
10.0,0.1,0.9,0.9,0.9,0.1,0.1,0.1,340.8500
10.0,0.1,0.9,0.9,0.9,0.1,0.1,0.9,347.6400
10.0,0.1,0.9,0.9,0.9,0.1,0.9,0.1,333.8800
10.0,0.1,0.9,0.9,0.9,0.1,0.9,0.9,357.3800
10.0,0.1,0.9,0.9,0.9,0.9,0.1,0.1,301.0000
10.0,0.1,0.9,0.9,0.9,0.9,0.1,0.9,402.3400
10.0,0.1,0.9,0.9,0.9,0.9,0.9,0.1,326.8600
10.0,0.1,0.9,0.9,0.9,0.9,0.9,0.9,351.2000
10.0,0.9,0.1,0.1,0.1,0.1,0.1,0.1,218.0800
10.0,0.9,0.1,0.1,0.1,0.1,0.1,0.9,169.2800
10.0,0.9,0.1,0.1,0.1,0.1,0.9,0.1,151.5700
10.0,0.9,0.1,0.1,0.1,0.1,0.9,0.9,175.0100
10.0,0.9,0.1,0.1,0.1,0.9,0.1,0.1,114.5000
10.0,0.9,0.1,0.1,0.1,0.9,0.1,0.9,123.2800
10.0,0.9,0.1,0.1,0.1,0.9,0.9,0.1, 63.2600
10.0,0.9,0.1,0.1,0.1,0.9,0.9,0.9, 75.3200
10.0,0.9,0.1,0.1,0.9,0.1,0.1,0.1,234.2300
10.0,0.9,0.1,0.1,0.9,0.1,0.1,0.9,184.2000
10.0,0.9,0.1,0.1,0.9,0.1,0.9,0.1,160.8700
10.0,0.9,0.1,0.1,0.9,0.1,0.9,0.9,131.8500
10.0,0.9,0.1,0.1,0.9,0.9,0.1,0.1,105.1100
10.0,0.9,0.1,0.1,0.9,0.9,0.1,0.9,110.0800
10.0,0.9,0.1,0.1,0.9,0.9,0.9,0.1, 78.2500
10.0,0.9,0.1,0.1,0.9,0.9,0.9,0.9, 84.2700
10.0,0.9,0.1,0.9,0.1,0.1,0.1,0.1,145.2200
10.0,0.9,0.1,0.9,0.1,0.1,0.1,0.9,199.1400
10.0,0.9,0.1,0.9,0.1,0.1,0.9,0.1,131.0200
10.0,0.9,0.1,0.9,0.1,0.1,0.9,0.9,116.0500
