a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100000
10.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,100000
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,100000
10.0,0.5,0.5,0.5,0.1,0.1,0.1,0.5,6071.9800
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.9,1285.5000
10.0,0.5,0.5,0.5,0.9,0.9,0.9,0.1,2304.5800
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,100000
10.0,0.9,0.9,0.9,0.5,0.5,0.5,0.1,16988.0300
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.5,17300.0900
50.0,0.1,0.5,0.9,0.1,0.5,0.9,0.1,1638.7000
50.0,0.1,0.5,0.9,0.5,0.9,0.1,0.5,1028.1000
50.0,0.1,0.5,0.9,0.9,0.1,0.5,0.9,1440.2100
50.0,0.5,0.9,0.1,0.1,0.5,0.9,0.5,1670.6700
50.0,0.5,0.9,0.1,0.5,0.9,0.1,0.9,1790.5000
50.0,0.5,0.9,0.1,0.9,0.1,0.5,0.1,5617.6100
50.0,0.9,0.1,0.5,0.1,0.5,0.9,0.9,5655.5000
50.0,0.9,0.1,0.5,0.5,0.9,0.1,0.1,4229.4400
50.0,0.9,0.1,0.5,0.9,0.1,0.5,0.5,53170.6400
90.0,0.1,0.9,0.5,0.1,0.9,0.5,0.1,2304.5900
90.0,0.1,0.9,0.5,0.5,0.1,0.9,0.5,1131.6900
90.0,0.1,0.9,0.5,0.9,0.5,0.1,0.9,1252.2600
90.0,0.5,0.1,0.9,0.1,0.9,0.5,0.5,1335.0800
90.0,0.5,0.1,0.9,0.5,0.1,0.9,0.9,11308.1100
90.0,0.5,0.1,0.9,0.9,0.5,0.1,0.1,3258.7600
90.0,0.9,0.5,0.1,0.1,0.9,0.5,0.9,3019.3000
90.0,0.9,0.5,0.1,0.5,0.1,0.9,0.1,10631.8600
90.0,0.9,0.5,0.1,0.9,0.5,0.1,0.5,3863.1000
