a,b,c,d,e,f,g,h,x,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077791620,  -0.003928103209326,   61.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075265717,  -0.003925678876542,  170.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075585561,  -0.003928232708558,  364.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075456022,  -0.003927278127576,  356.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077468977,  -0.003930028856064,  914.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075711820,  -0.003929058981911,  251.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077348494,  -0.003930582385066,   77.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076905599,  -0.003931838848014,   27.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078297135,  -0.003923796086003,  176.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076598472,  -0.003931987433357,  335.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076984109,  -0.003931705645102,   49.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075366627,  -0.003926556104198,  398.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075521757,  -0.003927776073039,  148.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077097982,  -0.003931443773684,  662.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075318416,  -0.003926145236921,    3.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076231276,  -0.003931382408517,   24.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075093698,  -0.003924031038985,  725.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077601608,  -0.003929315284149,  351.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076340681,  -0.003931652158997,  767.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077711360,  -0.003928642406980,  244.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076174818,  -0.003931213408174,  554.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.074905504,  -0.003922007464109,  130.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077669839,  -0.003928905730170,  477.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076154002,  -0.003931145972756,  133.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075504788,  -0.003927650202287,  586.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077707452,  -0.003928667647078,  432.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077990578,  -0.003926595326147,  328.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077438619,  -0.003930176829320,  232.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076629382,  -0.003931999394993,  617.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075375106,  -0.003926626803437,  520.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076381767,  -0.003931733816902,  521.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077904315,  -0.003927279032880,   17.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075737641,  -0.003929215318447,  142.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075912831,  -0.003930162960395,  747.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.074997096,  -0.003923021193702,   72.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076847320,  -0.003931912695976,   39.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077038447,  -0.003931590815672,  432.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075331905,  -0.003926261707154,   63.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077213608,  -0.003931094860828,  379.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076395041,  -0.003931757906708,  444.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078321458,  -0.003923549362711,  196.0
