a,b,c,d,x,y,calls
 10.00,  0.10,  0.10,  0.10,.076902241,  -0.003931843682152,   87.0
 10.00,  0.10,  0.10,  0.10,.078115707,  -0.003925522308142,  931.0
 10.00,  0.10,  0.10,  0.10,.075678572,  -0.003928851354443,  160.0
 10.00,  0.10,  0.10,  0.10,.076313341,  -0.003931591881710,  213.0
 10.00,  0.10,  0.10,  0.10,.077649957,  -0.003929028043399,   49.0
 10.00,  0.10,  0.10,  0.10,.078246423,  -0.003924298873841,   40.0
 10.00,  0.10,  0.10,  0.10,.077900830,  -0.003927305690117,   29.0
 10.00,  0.10,  0.10,  0.10,.075772526,  -0.003929419730914,   35.0
 10.00,  0.10,  0.10,  0.10,.074944491,  -0.003922445664714, 1178.0
 10.00,  0.10,  0.10,  0.10,.075910469,  -0.003930151491861,   30.0
 10.00,  0.10,  0.10,  0.10,.074958304,  -0.003922598536341,  296.0
 10.00,  0.10,  0.10,  0.10,.077781197,  -0.003928175477260,  202.0
 10.00,  0.10,  0.10,  0.10,.077707079,  -0.003928670046869,   16.0
 10.00,  0.10,  0.10,  0.10,.077922685,  -0.003927137270236, 1267.0
 10.00,  0.10,  0.10,  0.10,.075123349,  -0.003924328811816,  122.0
 10.00,  0.10,  0.10,  0.10,.078050769,  -0.003926091166616,  291.0
 10.00,  0.10,  0.10,  0.10,.076428961,  -0.003931814390532,  368.0
 10.00,  0.10,  0.10,  0.10,.075322174,  -0.003926177806463,  216.0
 10.00,  0.10,  0.10,  0.10,.077035534,  -0.003931597440875,  977.0
 10.00,  0.10,  0.10,  0.10,.077278182,  -0.003930863672883,    1.0
 10.00,  0.10,  0.10,  0.10,.077152593,  -0.003931289391801,  757.0
 10.00,  0.10,  0.10,  0.10,.075351278,  -0.003926426931730,   98.0
 10.00,  0.10,  0.10,  0.10,.078303290,  -0.003923733998121,   55.0
 10.00,  0.10,  0.10,  0.10,.078411624,  -0.003922603249118,   44.0
 10.00,  0.10,  0.10,  0.10,.077000290,  -0.003931673384351,  324.0
 10.00,  0.10,  0.10,  0.10,.076451973,  -0.003931848556868,  591.0
 10.00,  0.10,  0.10,  0.10,.075282549,  -0.003925829791063,  168.0
 10.00,  0.10,  0.10,  0.10,.076808263,  -0.003931950236001,  101.0
 10.00,  0.10,  0.10,  0.10,.077908125,  -0.003927249798694,   76.0
 10.00,  0.10,  0.10,  0.10,.076034035,  -0.003930703451418,  234.0
 10.00,  0.10,  0.10,  0.10,.076911654,  -0.003931829951804,   14.0
 10.00,  0.10,  0.10,  0.10,.077130886,  -0.003931352987968,  109.0
 10.00,  0.10,  0.10,  0.10,.076294723,  -0.003931548115336,   53.0
 10.00,  0.10,  0.10,  0.10,.075026954,  -0.003923339812117,   82.0
 10.00,  0.10,  0.10,  0.10,.075946925,  -0.003930324500267,    1.0
 10.00,  0.10,  0.10,  0.10,.077402543,  -0.003930345232884,  208.0
 10.00,  0.10,  0.10,  0.10,.076299323,  -0.003931559132959, 1554.0
 10.00,  0.10,  0.10,  0.10,.077014564,  -0.003931643565180,   80.0
 10.00,  0.10,  0.10,  0.10,.075433077,  -0.003927097737612,  372.0
 10.00,  0.10,  0.10,  0.10,.075395914,  -0.003926798347498,  553.0
 10.00,  0.10,  0.10,  0.10,.076756473,  -0.003931985210692,   38.0
 10.00,  0.10,  0.10,  0.10,.076270231,  -0.003931487183769,  282.0
 10.00,  0.10,  0.10,  0.10,.075194069,  -0.003925015916361,  139.0
 10.00,  0.10,  0.10,  0.10,.076970314,  -0.003931731850660,  386.0
 10.00,  0.10,  0.10,  0.10,.075975327,  -0.003930453390404,   77.0
 10.00,  0.10,  0.10,  0.10,.075641608,  -0.003928612171714,   10.0
 10.00,  0.10,  0.10,  0.10,.076698240,  -0.003932004355021,  149.0
 10.00,  0.10,  0.10,  0.10,.075839407,  -0.003929789771907,  218.0
 10.00,  0.10,  0.10,  0.10,.075137301,  -0.003924466944363,  828.0
 10.00,  0.10,  0.10,  0.10,.076786083,  -0.003931967281935,  287.0
 10.00,  0.10,  0.10,  0.10,.078076678,  -0.003925867306285, 1013.0
 10.00,  0.10,  0.10,  0.10,.075924254,  -0.003930217914167,   10.0
 10.00,  0.10,  0.10,  0.10,.075650139,  -0.003928668152594,  467.0
 10.00,  0.10,  0.10,  0.10,.076994349,  -0.003931685420563,   85.0
 10.00,  0.10,  0.10,  0.10,.076516857,  -0.003931926821840,   27.0
 10.00,  0.10,  0.10,  0.10,.077069493,  -0.003931516905035,   72.0
 10.00,  0.10,  0.10,  0.10,.078328064,  -0.003923481733844,  318.0
 10.00,  0.10,  0.10,  0.10,.076819767,  -0.003931940176451,  100.0
 10.00,  0.10,  0.10,  0.10,.077152566,  -0.003931289471253,   34.0
 10.00,  0.10,  0.10,  0.10,.076582866,  -0.003931979100615, 1833.0
 10.00,  0.10,  0.10,  0.10,.077496048,  -0.003929892072599,   58.0
 10.00,  0.10,  0.10,  0.10,.078379584,  -0.003922945122586,   50.0
 10.00,  0.10,  0.10,  0.10,.075391281,  -0.003926760396269,  374.0
 10.00,  0.10,  0.10,  0.10,.077627394,  -0.003929163890002,  335.0
 10.00,  0.10,  0.10,  0.10,.076669644,  -0.003932005928069,  327.0
 10.00,  0.10,  0.10,  0.10,.078018623,  -0.003926363187409,  211.0
 10.00,  0.10,  0.10,  0.10,.075042946,  -0.003923508081525,  238.0
 10.00,  0.10,  0.10,  0.10,.077412126,  -0.003930301288887,   52.0
 10.00,  0.10,  0.10,  0.10,.078413871,  -0.003922579033441,   42.0
 10.00,  0.10,  0.10,  0.10,.076810047,  -0.003931948730898,  365.0
 10.00,  0.10,  0.10,  0.10,.076219878,  -0.003931349924469,   43.0
 10.00,  0.10,  0.10,  0.10,.077259044,  -0.003930934904324,  562.0
 10.00,  0.10,  0.10,  0.10,.076924490,  -0.003931810331785,  779.0
 10.00,  0.10,  0.10,  0.10,.075718594,  -0.003929100412020,  760.0
 10.00,  0.10,  0.10,  0.10,.078144992,  -0.003925257314323,  325.0
 10.00,  0.10,  0.10,  0.10,.078109470,  -0.003925578069492,  227.0
 10.00,  0.10,  0.10,  0.10,.075105646,  -0.003924151714316,  465.0
