a,b,c,d,e,f,g,h,x,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075875175,  -0.003929975884175,  485.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075514745,  -0.003927724284530,  178.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075902469,  -0.003930112385073,  163.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075910906,  -0.003930153617652,   11.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077910956,  -0.003927228020861,  160.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076980043,  -0.003931713492868,   24.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077110387,  -0.003931410341270,  382.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077632478,  -0.003929133558196,  209.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076339316,  -0.003931649263413,  623.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076305449,  -0.003931573598236, 1286.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077928059,  -0.003927095407061,  105.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.074987343,  -0.003922915852666,  795.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076186894,  -0.003931251261414,  147.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075802478,  -0.003929589002492,   13.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077752783,  -0.003928369088054,  527.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075238593,  -0.003925431815598,  180.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075088847,  -0.003923981780851,  517.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076492250,  -0.003931900278993,  665.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077176225,  -0.003931216804129,    5.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078424024,  -0.003922469255716,  663.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075528268,  -0.003927823875577,  394.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077000130,  -0.003931673712444,  767.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077532837,  -0.003929698899424, 1104.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077480571,  -0.003929970829336,  227.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075396414,  -0.003926802433184,   90.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075306483,  -0.003926041211249,   59.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076051035,  -0.003930771749404, 1298.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078265940,  -0.003924107228694,   85.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075900723,  -0.003930103797349,  540.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075170437,  -0.003924789924755,  187.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075854861,  -0.003929871191246, 1280.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076014126,  -0.003930621123644,   25.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075378817,  -0.003926657608446, 1024.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076019802,  -0.003930644851033, 1324.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078153053,  -0.003925183442026,  571.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077359887,  -0.003930533905110,  275.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076520778,  -0.003931930697743,  861.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076112752,  -0.003931004176408,  121.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075328989,  -0.003926236630348,  371.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077634941,  -0.003929118801616,  671.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076211771,  -0.003931326317844,  382.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076930425,  -0.003931800909775,  263.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078460573,  -0.003922068865098,   44.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075835405,  -0.003929768436076,  313.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075892915,  -0.003930065147015,  238.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078338169,  -0.003923377759017, 1148.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077317320,  -0.003930710900641,  163.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076954208,  -0.003931760936228,  298.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077295858,  -0.003930795859489,   71.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076303473,  -0.003931568958223,   10.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076078677,  -0.003930878856944,  594.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077288059,  -0.003930826021107, 1365.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077052140,  -0.003931558961215,   40.0
