a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136083950,.068226340,  -0.014899903101214,             55510.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136414339,.068426681,  -0.014900817321030,             47715.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135005527,.069716623,  -0.014878329755580,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135925953,.067502968,  -0.014894511339769,             66549.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135962242,.068328314,  -0.014899547811407,             67175.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137576868,.069984318,  -0.014883100855461,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139428814,.070186224,  -0.014868037468020,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138790736,.070419902,  -0.014867494037729,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138285682,.065496627,  -0.014830213236497,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136521308,.068787378,  -0.014899759002316,             50859.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137742571,.069410234,  -0.014892885027179,             27501.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135915832,.069620001,  -0.014887275666994,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139520149,.068075464,  -0.014883035059522,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137310719,.068775179,  -0.014899828430957,             10248.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135055526,.068684467,  -0.014892799233409,              2432.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136023355,.068539816,  -0.014899463760357,             28918.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135212134,.068926845,  -0.014892208139935,             57071.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135666249,.068835735,  -0.014896150741966,             34120.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138042475,.069269990,  -0.014893478311609,             73126.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134812069,.068340852,  -0.014891932402970,             67617.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134208664,.067983054,  -0.014885266884817,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134151189,.067000969,  -0.014874574004861,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135167689,.068674483,  -0.014893788433073,             99090.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134909294,.068948684,  -0.014889327670340,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136398067,.067792252,  -0.014898484563896,             54340.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137468140,.067518446,  -0.014894107445737,             61582.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134667133,.067849682,  -0.014889577606956,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138772887,.067500814,  -0.014884862441018,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136133528,.068664188,  -0.014899389713856,             23707.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133690497,.067928692,  -0.014878340898205,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136885363,.069166769,  -0.014896954119566,             29841.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137084145,.068312671,  -0.014900998902002,             27839.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138708445,.067924195,  -0.014890553623798,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137572015,.069291862,  -0.014894869930590,             25744.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135389840,.066079221,  -0.014861011877478,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134373416,.068779881,  -0.014885139488209,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.140089055,.067872663,  -0.014873232439396,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137358191,.068465974,  -0.014900571148882,             23599.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138207743,.067408610,  -0.014888308307921,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137028401,.070897202,  -0.014856948800290,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134398070,.066377728,  -0.014863264930776,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134399825,.068301301,  -0.014887746571290,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133949800,.068443738,  -0.014881793692004,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.141488450,.069112169,  -0.014852410211922,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138719614,.068745420,  -0.014892877121567,             20557.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136862908,.068857313,  -0.014899683425138,               294.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137500949,.067513318,  -0.014893907008615,             55806.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137686493,.068514579,  -0.014899524931991,             50365.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137493368,.069295508,  -0.014895001989174,             21966.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136666773,.068284897,  -0.014901104670143,             33065.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136599826,.068548502,  -0.014900896197270,             50190.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135365391,.067585864,  -0.014892884443011,             73518.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133931873,.067246323,  -0.014875806194490,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136009060,.067713624,  -0.014896969815852,             45392.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135192071,.069656606,  -0.014881317517876,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134260474,.069431330,  -0.014875258161309,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137094011,.068137428,  -0.014900509708566,               499.0
